"","lfc","p_ttest","padj_ttest"
"A1BG",-0.809175848935559,4.62482568625524e-06,3.51892057692848e-05
"A2M",-0.582475536288768,0.00214470204955943,0.00601878289463663
"A2ML1",-0.298450842047252,0.55680350796778,0.644873429189935
"AAAS",-0.4500723320291,7.84138168856761e-05,0.000369964073457697
"AACS",0.175425735213772,0.133846948869302,0.203745731184267
"AAED1",-0.177622245271179,0.262212276975608,0.35465896172177
"AAGAB",-0.364465567415118,0.0093295776955514,0.0211175078006382
"AAK1",-0.135060108365628,0.00503041653407722,0.0124057241636741
"AAMDC",0.90848030641951,7.03919912536034e-07,8.02452195721031e-06
"AAMP",0.0656465975356173,0.391388275137071,0.488682535623122
"AAR2",-0.583604647293597,2.82285179495534e-05,0.00015622886086594
"AARS",0.0949912010387969,0.116748975492379,0.181904668753067
"AARS2",0.145192307482738,0.0272486976479183,0.0528137006036191
"AARSD1",0.0155098512883123,0.860526964913862,0.89726521614956
"AASDHPPT",-0.407781557073169,4.86631857827291e-05,0.00024736059516532
"AASS",-0.271596037120499,0.0143652509410039,0.0305815045136409
"AATF",-0.337577580746925,0.00159831376443354,0.0047139833319235
"ABAT",-0.403857170755215,0.0158391025061583,0.0332224833412173
"ABCA1",-1.07231547573841,0.00050079699009224,0.00176040246683982
"ABCA12",-0.699213995661359,0.972381985522023,0.979283674220948
"ABCA2",0.224309533569547,0.0267312721009887,0.0519454216446871
"ABCA3",-0.620010637014871,0.00453828736703106,0.0113737902981985
"ABCB10",-0.0771894510281391,0.874303702177373,0.908401453143794
"ABCB6",0.234885834359859,0.0262605938757305,0.0512458388215139
"ABCB7",0.239244601321341,0.0152233971338903,0.0321459964668728
"ABCB8",-0.082304362653645,0.9601416285911,0.970925249211716
"ABCC1",0.298072410206484,0.0063150777486243,0.0150583168287451
"ABCC10",-0.12377392809989,0.844804428295238,0.886150973404407
"ABCC11",-0.422562861770742,0.0391621223988253,0.0721442610924442
"ABCC3",-0.622555627508118,0.119478181514228,0.1854734733468
"ABCC4",-0.0378031226967016,0.732295094495072,0.796603367140629
"ABCD1",-0.273354594819152,0.321248621426837,0.4176324112688
"ABCD3",0.536262951931531,0.000180535313212698,0.000744846289519799
"ABCE1",-0.0537408606751659,0.363985532337842,0.461038858467263
"ABCF1",0.242470392575807,9.20193481713768e-06,6.18893475021292e-05
"ABCF2",0.0553083289609015,0.331119148083481,0.428279142852323
"ABCF3",0.30901667628707,5.79483015870262e-07,6.95665783496596e-06
"ABHD10",-0.548118769637577,1.41970315097215e-05,8.88365086232509e-05
"ABHD11",-0.405335550694084,0.0142800395647328,0.0304182047595754
"ABHD12",0.503110172449676,1.69908475621829e-05,0.000102302787427038
"ABHD14B",-1.12533830121466,7.87641601737204e-11,5.10601795686172e-08
"ABHD16A",-0.0307255650410566,0.702167564797939,0.771468157362075
"ABHD17A",0.0958865043487519,0.258303724880229,0.350362033859025
"ABHD17B",-0.364315803523689,0.190769594322527,0.2730414387978
"ABHD17C",-0.788093434544352,0.00715830909987218,0.0167890491285955
"ABHD3",-0.297972712170466,0.59877965166234,0.682995112347753
"ABHD4",-0.407424301089534,0.036816837900374,0.0683610715568525
"ABHD5",-0.827912111484219,0.00029029445398701,0.00111397919122718
"ABHD6",-0.23812491500075,0.489510340415981,0.584394469273262
"ABI1",-0.187202036653744,0.0209851395843932,0.0422746006460823
"ABI2",-0.0344929867152022,0.794320581854337,0.846309703613511
"ABI3",-0.236646933710619,0.0125841175887928,0.0272170728277183
"ABI3BP",-0.61626028792847,0.00499944775038672,0.0123387385595839
"ABL1",0.497703201434934,3.55346672539743e-05,0.000190905582529086
"ABL2",0.541601968439808,6.80849540455866e-06,4.83254082583419e-05
"ABLIM1",-0.0862155852863953,0.583098837899082,0.668874967527506
"ABLIM2",-0.415649900527559,0.762822095687609,0.82044929305014
"ABLIM3",-0.311468360031607,0.917009229807799,0.940909333190992
"ABR",-0.151728332508398,0.0363836119548826,0.0676729614860899
"ABRACL",-0.862695472415043,2.26774910963975e-05,0.000129715249071394
"ABT1",-0.159560303987698,0.954431523771345,0.96807052645797
"ABTB2",0.219465750012463,0.355915231718028,0.453415395418067
"ACAA1",-0.787563587934747,7.60422476041318e-09,3.35939728374276e-07
"ACAA2",-0.283498393912797,0.0155347993592359,0.0326899781365959
"ACACA",-0.18897047874036,0.0401250615606295,0.0736181318142568
"ACACB",-0.872468547232882,0.000230414304973153,0.000916558900484376
"ACAD10",0.0270826930175698,0.382341729227076,0.479665975358546
"ACAD11",-0.0379346113362784,0.697705592462068,0.76824040688867
"ACAD8",0.238635891289469,0.203628454480538,0.287552002812772
"ACAD9",0.345202987811523,3.18593102595346e-05,0.000173654670943786
"ACADL",-0.347672533005406,0.684695249340172,0.757276683869863
"ACADM",-0.120847965425589,0.159867219344057,0.235457001984271
"ACADS",-0.752035937069251,1.08505912622956e-06,1.12007589633293e-05
"ACADSB",-0.197195762289534,0.0951247819943568,0.153347708904696
"ACADVL",-0.307429217614529,0.000131964388707212,0.000573122695752092
"ACAN",0.805970792244807,9.19292286695515e-07,9.79618696740409e-06
"ACAP1",-0.175443635538317,0.210184814171637,0.295224199480716
"ACAP2",0.0439050984643721,0.336236875087221,0.433779428715098
"ACAP3",-0.861670903657994,0.00090624503096095,0.00291220313320036
"ACAT1",-0.0606579958969214,0.34426684409013,0.441817446473859
"ACAT2",-0.530270298188389,0.000208394704399788,0.000840145151568633
"ACBD3",-0.25474916052742,0.0010364150207377,0.00325414906737276
"ACBD5",-0.391394036274991,0.00518262667419435,0.0127133859182305
"ACBD6",-0.132104729410024,0.072920956263239,0.122445756985622
"ACBD7",0.416083743676343,0.718950321956451,0.785160931121353
"ACD",-0.615172654179408,0.0028011459171239,0.00758094709104169
"ACE",-0.456402525399779,0.164924913035116,0.241561960288216
"ACIN1",0.56143552171535,4.17602797046441e-09,2.43159856196383e-07
"ACLY",0.150265413786282,0.191918566463429,0.274483915324369
"ACN9",-0.299276943743819,0.927548906590744,0.948122103194407
"ACO1",-0.585823367511988,4.24418830071656e-07,5.43748182294702e-06
"ACO2",-0.217222886889354,0.0122816596553447,0.026663732638663
"ACOT1",-0.983412232195051,1.39569006187771e-06,1.37087779411099e-05
"ACOT11",-0.431990741241315,0.0108027599932808,0.0239284824999232
"ACOT13",-0.674587140480079,1.65624181359432e-06,1.56514046602441e-05
"ACOT2",-0.997646174228821,0.0005982301823729,0.00203968804116202
"ACOT4",-0.272488940944791,0.717883532457708,0.78426013589695
"ACOT7",-0.478206522297416,0.0081487458086745,0.0187590919137194
"ACOT8",0.211681778080307,0.0182745164537295,0.0374423510316194
"ACOT9",-0.0497564542979939,0.413417601784439,0.511368121346783
"ACOX1",-0.394875482287208,0.00143886857463406,0.00431838210485853
"ACOX2",-0.788102826504055,9.39740863757912e-06,6.2977533833094e-05
"ACOX3",-0.443285705097308,0.00398833314387615,0.0101844935638266
"ACP1",-0.538603518733599,4.3284276300673e-06,3.33779780133025e-05
"ACP2",-0.483726200296309,9.06862818926897e-08,1.78870873250409e-06
"ACP5",-0.762199497226668,5.28857275437467e-08,1.23323936363404e-06
"ACP6",-0.347923948289212,0.00270114125885665,0.00734846306545031
"ACPP",-0.776892749948592,0.0467051397045229,0.0840105028647393
"ACSF2",-0.209036381874256,0.0375383742968375,0.06947528581318
"ACSF3",0.381530906095367,9.97354487134577e-05,0.000450872851366649
"ACSL1",-0.436136567766724,0.017285689937623,0.0357022194038755
"ACSL3",0.307384878141615,0.00937938231967445,0.0212154253725318
"ACSL4",-0.166185642897668,0.0763959564773935,0.127248078243606
"ACSL5",-0.406428550360005,0.0111578228969173,0.0246140358098057
"ACSM1",-0.0350819719469807,0.161358445809192,0.237124002878735
"ACSM3",-0.350240395000374,0.41390585356487,0.511673089253089
"ACSS1",-0.317916871615609,0.00602951690873676,0.0144732220243289
"ACSS2",-0.133325331206433,0.190221449241189,0.272457172867032
"ACSS3",-0.413930122889229,0.00816051347025649,0.018781735617698
"ACTA1",-1.12297100144628,1.34040724948487e-09,1.28831642557051e-07
"ACTA2",-0.190009353432577,0.597671323620496,0.682130980150904
"ACTB",-1.26334997458385,1.1380463239976e-08,4.46224292522284e-07
"ACTBL2",-0.902903853737641,4.54261311506784e-10,8.33440942092823e-08
"ACTG1",-0.786312766754999,2.53553014026092e-06,2.18709092843598e-05
"ACTG2",-0.709229167749378,0.123932572365551,0.191076634482736
"ACTL6A",-0.449394612727571,8.63551772117203e-05,0.000398537134886933
"ACTL8",0.178431548733772,0.393396287892063,0.490900460603765
"ACTN1",-0.673058278069541,2.01295004554393e-07,3.13684715430596e-06
"ACTN3",-1.12745918458727,0.0275080393689772,0.0532526726705025
"ACTN4",-0.423893944490367,3.82739761841831e-06,3.03322041088017e-05
"ACTR10",-0.100213306794171,0.0501772660539314,0.0892652277915164
"ACTR1A",-0.655871026772619,1.24681512166797e-09,1.28020785843119e-07
"ACTR1B",-0.714457817805343,1.96702225670943e-08,6.2918830342903e-07
"ACTR2",-0.371899011485055,9.35130944719132e-06,6.27118159065437e-05
"ACTR3",-0.195888510147887,0.00174605968804927,0.00507280681403976
"ACTR3B",-0.461631699659859,4.10253759432227e-05,0.000214709771621043
"ACTR5",-0.477847754500372,2.75969939546622e-06,2.34369580100555e-05
"ACTR6",-0.462110741242746,0.000202433260881176,0.000820533984497107
"ACTR8",0.0870496418632472,0.0968997513878418,0.155744327685186
"ACVR1",0.139598293813499,0.187889195764252,0.269633196518829
"ACY1",-0.0397967798746107,0.486750900308465,0.582113608977926
"ACYP1",-0.265380782382869,0.039692355141817,0.0729756969935769
"ACYP2",0.121799591592192,0.339995278302829,0.437432400928382
"ADA",-0.140260648758358,0.301494402081149,0.3968164548935
"ADAL",-0.636056764801295,1.03573404207555e-06,1.07486422893732e-05
"ADAM10",0.341532202589764,0.000903242286852328,0.0029044735440979
"ADAM12",-0.31352945198795,0.841779846870973,0.883387354950717
"ADAM15",0.54282996834182,0.000246612473258714,0.000970744028691716
"ADAM17",0.282331157267195,0.00309705905089547,0.00825316585664774
"ADAM8",0.589576364257097,0.004342510699565,0.0109451980411016
"ADAM9",0.698978530702679,5.27186065443819e-05,0.000264928025859209
"ADAMDEC1",0.082920609953893,0.396876223250628,0.494582134421262
"ADAMTS12",0.0470273775337041,0.172278179859374,0.250745849566316
"ADAMTS15",0.443063810997708,0.353006350425386,0.450535995739133
"ADAMTS16",-0.561016056499548,0.840741828596044,0.882774380873332
"ADAMTS2",-0.0600818852536985,0.566873131171834,0.653887820583027
"ADAMTS4",-0.379406882533888,0.0695517852664625,0.117478124010957
"ADAMTS7",0.148978494560247,0.157193341115705,0.231984830628185
"ADAMTSL1",0.701305091565085,0.00337743436372547,0.00888106321061831
"ADAMTSL2",-0.352594078195322,0.879979709532282,0.913088164888538
"ADAMTSL4",0.417675608051077,0.00174420872487417,0.00506894370611967
"ADAP1",-0.178093174397749,0.197620554361971,0.281019935012252
"ADAP2",-0.267120038766692,0.11550491229144,0.180341966461459
"ADAR",0.174199694278808,0.0158839801728347,0.0333022473481338
"ADARB1",0.335754273956543,0.000162514345035274,0.000684404283725858
"ADAT1",-0.522348595321453,0.0424961219777545,0.0772396803947074
"ADAT2",-0.431543155734699,0.697768333364946,0.76824040688867
"ADAT3",0.211551024557371,0.0125342976282652,0.0271213863233757
"ADCK1",-0.149494173778073,0.880936418133455,0.91382821953592
"ADCK3",-0.533746166495409,6.29819786972127e-05,0.000305150354186197
"ADCK4",0.0578460794295863,0.413720801993585,0.511509355192068
"ADCK5",-0.235079497503303,0.889118887213104,0.920058748458042
"ADCY6",-0.409163605533395,0.103346610327995,0.164367425389176
"ADCY9",-0.214660646105058,0.646801992605947,0.72534916112331
"ADD1",-0.201538888888994,0.018432344448884,0.0377101025501678
"ADD2",-0.297969250483048,0.0250025273191905,0.0491458612597147
"ADD3",-0.245460748314154,0.0233440569133004,0.0463449590495984
"ADGB",-1.37494451840754,5.63330706364207e-05,0.000279766485632561
"ADH1B",-1.81018511790971,4.65587035736485e-07,5.86446675583106e-06
"ADH1C",-1.20240483363689,7.79775392297576e-06,5.38915132530322e-05
"ADH5",-0.552549180852696,4.21328249905107e-08,1.0505117697634e-06
"ADHFE1",-0.908720136910959,1.03148599150271e-06,1.07159933561671e-05
"ADI1",-0.404703593521064,0.00296949483820273,0.00796342189925078
"ADIPOR1",-0.014445207947891,0.45822201312703,0.554818933588251
"ADIPOR2",-0.0719118413197906,0.961410268959184,0.971803893488472
"ADIRF",-0.0359081467854766,0.45112591514676,0.547864168713262
"ADK",-0.367341077779698,4.09937298684358e-05,0.000214659681874351
"ADNP",0.519880281561944,1.94716423390503e-09,1.56481198433823e-07
"ADNP2",0.599391011808982,2.11654755172275e-05,0.000122580752787088
"ADO",0.518411746811815,1.48942557225946e-06,1.4382496787141e-05
"ADPGK",-0.0898821995715444,0.335811702235108,0.43336867850487
"ADPRH",-0.215830219773173,0.00662294383738249,0.0156732795995881
"ADPRHL2",-0.0972258650692121,0.135527752802412,0.205724612589862
"ADPRM",-0.946450995010017,0.00654103098475635,0.0155096282115998
"ADRBK1",-0.344750471256577,4.6347667955102e-05,0.000237577608431951
"ADRBK2",-0.396724744158643,0.0423289115932249,0.0769789295553616
"ADRM1",-0.082407954018225,0.90821251353812,0.934348125438498
"ADSL",-0.0167576742125623,0.764902402778025,0.821746827752207
"ADSS",-0.378633630956645,0.00152873463547831,0.00453490408645243
"ADSSL1",-0.539642086071049,0.0277946908127983,0.0537540917787691
"AEBP1",-0.0687538537338784,0.723011783029139,0.788976161842144
"AEBP2",-0.633910969000912,0.0992989228276758,0.158865206577216
"AES",-0.095431671306425,0.957060869549254,0.969321934746063
"AFAP1",0.220916570158932,0.0138206578507234,0.0295692138482803
"AFAP1L1",-0.627130238882564,0.017125395939895,0.0354464346784884
"AFAP1L2",0.156778317043713,0.197070755744187,0.28046657671409
"AFF1",-0.0385769811118274,0.279694315484366,0.373335281231294
"AFF3",0.552613957966614,0.0379970445232593,0.0702172673782161
"AFF4",0.385500964866951,8.33063841127506e-06,5.67674337149535e-05
"AFG3L2",0.596011476976425,1.73274949221979e-06,1.62168008299762e-05
"AFM",-0.128892290695571,0.940902509296652,0.958246334352812
"AFMID",0.243761538329416,0.0534205983899585,0.0941395249626597
"AFTPH",0.023592516704658,0.51680050318499,0.609283231446514
"AGA",-1.3075365475368,0.000385856278215307,0.00141320770220928
"AGAP1",0.135982292191071,0.0711789243987312,0.11995560846677
"AGAP2",-0.382870905158845,0.349645818175653,0.447068499137416
"AGAP3",0.32408540145237,0.000165038771183379,0.000692934806125723
"AGFG1",0.208327027198103,0.00177887831465644,0.00514969119729659
"AGFG2",0.403037147913051,0.00260898263638002,0.00713234387297142
"AGGF1",0.328697176503007,0.00274541982126184,0.00745086864134806
"AGK",-0.138616901421529,0.204311233900379,0.288348684825441
"AGL",-0.573915168166706,0.000738489743281786,0.00243591392933246
"AGMAT",-0.336207859687403,0.523240099934879,0.615159803139494
