gene,cluster
RAT,1
CRYZ,1
CLYBL,1
OXCT1,1
ALDH5A1,1
ECI2,1
IRF9,1
NUDT4,1
FBLN2,1
CHDH,1
AK4,1
PDCD4,1
SLC12A2,1
REEP6,1
PSMB9,1
BAIAP2,1
PNP,1
TST,1
APP,1
POR,1
ABAT,1
ASS1,1
IGFBP2,1
HMGCL,1
ALDH6A1,1
GGH,1
PCK2,1
BDH1,1
SELENBP1,1
FDFT1,1
ALDH4A1,1
ACSF2,1
ACADSB,1
TKFC,1
CACYBP,1
TIMP2,1
NUDCD1,1
CSE1L,1
GART,1
SRPK1,1
TRMT6,1
VIM,1
SPTLC2,1
LDHB,1
HSPH1,1
ENO1,1
PTK2,1
AKR1C2,1
FDPS,1
XPO7,1
ASNS,1
BLVRA,1
S100A16,1
CCAR2,1
AHSA1,1
TOMM34,1
COL14A1,1
CNN1,1
MYH11,1
APOBR,1
NPL,1
PFKP,1
PARP1,1
GSR,1
TDRD7,1
DSC2,1
MAGED1,1
GALE,1
PGD,1
ANXA3,1
S100B,1
ARHGEF6,1
PCDH1,1
MCAM,1
FKBP7,1
PPIF,1
SPR,1
PTGR2,1
KARS,1
TARS,1
GDAP1,1
LZTFL1,1
BLMH,1
GMPS,1
CASP6,1
S100A6,1
BCAM,1
ACOT7,1
DDX21,1
P3H3,1
METAP1,1
PREP,1
MSH2,1
ETHE1,1
ARHGAP12,1
FGD4,1
MCM5,1
LDHD,1
ADK,1
SH3BGRL2,1
SORBS2,1
COMT,1
DNAJC1,1
IVD,1
HSDL2,1
TES,1
OCIAD2,1
GSTK1,1
GCLM,1
DHCR7,1
NFKB2,1
FEN1,1
TACC1,1
PCNA,1
NAMPT,1
RNASEL,1
CIP2A,1
MCM7,1
MCM3,1
RFC4,1
VRK1,1
GATM,1
PKM,1
SERPINB6,1
HSPA12A,1
INF2,1
S100A13,1
SCPEP1,1
DCTD,1
FSTL1,1
SSFA2,1
CALD1,1
NMI,1
ARFGAP3,1
AKAP12,1
CLIC4,1
PADI2,1
FERMT2,1
PALD1,1
MYO1D,1
PGM5,1
H6PD,1
CSRP1,1
FLNC,1
FHL1,1
SORBS1,1
COLGALT1,1
ABLIM1,1
SPTBN1,1
DNMT1,1
STK10,1
STAB1,1
CTSH,1
PLOD1,1
P4HA2,1
LGALS1,1
PPA1,1
NFIA,1
PAICS,1
NFIB,1
P3H1,1
PDIA4,1
FAM49B,1
ITGAX,1
PRKG1,1
CYGB,1
S100A8,1
TPM2,1
MCM4,1
LPCAT2,1
ACSS2,1
LYN,1
LACTB2,1
S100A4,1
CD2AP,1
TRIP10,1
PPP1R14A,1
PLIN3,1
RENBP,1
CNPY4,1
CASP4,1
FMNL2,1
CD14,1
EML1,1
MYO1F,1
CLIP2,1
MXRA7,1
KANK2,1
SPECC1,1
DHRS7,1
ROBO1,1
F11R,1
TIMP1,1
CKAP4,1
MSR1,1
ATP9A,1
ALPL,1
PLEKHA2,1
CTNND1,1
CSPG4,1
EHBP1,1
UTRN,1
RASA3,1
ABI3,1
MYO5A,1
AHNAK,1
ALDOC,1
FLNA,1
PPP2R5A,1
CBR1,1
MAP3K5,1
ARHGEF2,1
ARHGAP10,1
KANK1,1
OSBPL1A,1
ALDH1L1,1
DIP2C,1
WIPI1,1
CDH1,1
NCF4,1
GLUL,1
RBMS1,1
EEPD1,1
MAPT,1
DTNA,1
TPPP,1
RAB11FIP1,1
CALU,1
FUCA1,1
CASP8,1
LGMN,1
ABR,1
TRIM14,1
FKBP15,1
RRM2B,1
BID,1
FYCO1,1
ARL3,1
MAP4K4,1
CENPV,1
LCP1,1
SYK,1
CORO1A,1
HLA-DPA1,1
COTL1,1
LSP1,1
FNBP1,1
PTPN6,1
TJP1,1
ARHGAP4,1
GOT1,1
ALDH3A2,1
TXNRD1,1
FERMT3,1
PODXL,1
RNASET2,1
IQGAP1,1
RIPK1,1
FKBP9,1
SH3BP1,1
IL16,1
PARVG,1
FLNB,1
PLCG2,1
INPP5D,1
WAS,1
AFAP1L2,1
ADA,1
NCKAP1L,1
SASH3,1
CRYL1,1
P4HB,1
SNX9,1
CAST,1
WIPF1,1
SYNE2,1
FNBP1L,1
PACSIN2,1
LIMA1,1
ANXA6,1
ANTXR1,1
SDC4,1
SUPT16H,1
FAS,1
ERLIN2,1
BIN1,1
TFRC,1
ITGA6,1
SH3KBP1,1
EPS8,1
PSME2,1
IFIT2,1
FAM129B,1
TPPP3,1
ARRB1,1
FAM114A1,1
PDLIM1,1
MVP,1
HTATIP2,1
AARS,1
SIAE,1
FAM84B,1
MSH6,1
EPHX1,1
ISYNA1,1
OPLAH,1
CRYAB,1
