"","X","pv","mm","wm","gene","ty"
"1","ucec_ZNF831",0.174571276185088,0.5,0.472947653320173,"ZNF831","ucec"
"2","ucec_ZNF729",3.83521211316121e-14,0.454545454545454,0.478749501440785,"ZNF729","ucec"
"3","ucec_ZNF536",0.621217070938072,0.482517482517482,0.476373425633878,"ZNF536","ucec"
"4","ucec_ZNF469",1.11112269642349e-43,0.432142857142857,0.485284077541087,"ZNF469","ucec"
"5","ucec_ZFP36L2",4.78997361850534e-26,0.433333333333333,0.482498471218599,"ZFP36L2","ucec"
"6","ucec_ZFHX4",6.14777285638038e-10,0.456140350877193,0.479868532476183,"ZFHX4","ucec"
"7","ucec_ZDBF2",2.24958474507854e-18,0.446644934740766,0.480490630911083,"ZDBF2","ucec"
"8","ucec_XIRP2",1.24785768750992e-99,0.4,0.490805256786459,"XIRP2","ucec"
"9","ucec_WDFY4",8.9839299160447e-62,0.413375769702444,0.485610567782758,"WDFY4","ucec"
"10","ucec_WDFY3",1.48812540910607e-48,0.428571428571429,0.485296282411639,"WDFY3","ucec"
"11","ucec_VCAN",3.41558184880161e-15,0.45,0.479506908004827,"VCAN","ucec"
"12","ucec_USH2A",2.90126919619776e-16,0.454545454545455,0.47913844304351,"USH2A","ucec"
"13","ucec_UNC13C",4.14111384694601e-44,0.426781978465419,0.481311461488599,"UNC13C","ucec"
"14","ucec_UBR4",2.78437642261121e-09,0.463160745842853,0.47696975545809,"UBR4","ucec"
"15","ucec_TP53",3.10062088640645e-112,0.560104081851953,0.446279530397625,"TP53","ucec"
"16","ucec_THSD7B",3.05508036344723e-32,0.433333333333333,0.479435457652463,"THSD7B","ucec"
"17","ucec_TEX13C",6.94873005213052e-27,0.433333333333333,0.481054614243194,"TEX13C","ucec"
"18","ucec_TENM4",8.94289121340351e-73,0.416666666666667,0.487320082248115,"TENM4","ucec"
"19","ucec_TENM3",3.78517047050124e-25,0.448418581022795,0.484069710821458,"TENM3","ucec"
"20","ucec_TENM1",2.00378517694094e-43,0.434065934065934,0.483860092220171,"TENM1","ucec"
"21","ucec_TAF1L",8.18354062608018e-18,0.45,0.480702513798564,"TAF1L","ucec"
"22","ucec_TACC2",2.08265507118887e-56,0.418181818181818,0.484605202437065,"TACC2","ucec"
"23","ucec_SYNE2",2.74618339556133e-33,0.442424242424242,0.48423368002788,"SYNE2","ucec"
"24","ucec_SYNE1",0.00460723602021231,0.5,0.474211843899241,"SYNE1","ucec"
"25","ucec_SVIL",1.13465586011574e-67,0.409926707134118,0.488063844972376,"SVIL","ucec"
