"sample","stromal","immune","estimate","purity","type","sam","cancer_type"
"11BR047_r",747.478730041118,-1822.10443441818,-1074.62570437706,0.90164218059179,"r","11BR047","breast"
"11BR049_r",101.664252115472,896.879384218909,998.543636334381,0.730623376783218,"r","11BR049","breast"
"11BR043_r",489.128950501806,3114.2996627506,3603.4286132524,0.423103339881976,"r","11BR043","breast"
"18BR010_r",2040.39620012659,-515.865849065445,1524.53035106114,0.675782482719774,"r","18BR010","breast"
"11BR023_r",140.672380469357,2398.8033456719,2539.47572614126,0.558887448618316,"r","11BR023","breast"
"11BR074_r",2715.54173128908,-452.451105899748,2263.09062538933,0.59206085210039,"r","11BR074","breast"
"06BR003_r",564.131360427104,919.201147895148,1483.33250832225,0.680227618414046,"r","06BR003","breast"
"01BR017_r",1129.84692111139,2518.51763733303,3648.36455844442,0.417117597478038,"r","01BR017","breast"
"18BR017_r",1990.88776741299,615.732258237895,2606.62002565088,0.5506874080475,"r","18BR017","breast"
"06BR006_r",2878.50702682296,1014.33335027638,3892.84037709934,0.384240763620239,"r","06BR006","breast"
"11BR017_r",-214.660686595768,1829.49136934258,1614.83068274681,0.665953098013544,"r","11BR017","breast"
"09BR005_r",273.391215740465,-2477.95220356087,-2204.56098782041,0.960672257909297,"r","09BR005","breast"
"11BR025_r",-2244.66425258799,-2939.22981233441,-5183.8940649224,0.987864685764988,"r","11BR025","breast"
"01BR015_r",783.537906888458,330.194616240228,1113.73252312869,0.718974765080165,"r","01BR015","breast"
"01BR001_r",-1368.71169745524,-1410.64119557036,-2779.3528930256,0.98065613165732,"r","01BR001","breast"
"05BR045_r",-1420.66931859045,-160.165575174746,-1580.8348937652,0.931260541143631,"r","05BR045","breast"
"01BR032_r",-2429.00803090169,-2441.61500690122,-4870.62303780291,0.993960075568411,"r","01BR032","breast"
"14BR008_r",2585.2850638651,344.493575072188,2929.77863893729,0.510487478622379,"r","14BR008","breast"
"01BR027_r",-1506.84900712336,-1011.75841869935,-2518.60742582271,0.972447977128998,"r","01BR027","breast"
"03BR013_r",1377.52710682539,280.691689260762,1658.21879608615,0.661188486168754,"r","03BR013","breast"
"18BR002_r",3052.0633043119,2918.53083017169,5970.59413448359,0.0892761456684278,"r","18BR002","breast"
"11BR032_r",2382.34774380775,465.277058135875,2847.62480194363,0.520819662397295,"r","11BR032","breast"
"11BR003_r",-4.20365502670566,3422.4608094309,3418.25715440419,0.447572240496508,"r","11BR003","breast"
"03BR004_r",1364.25787041263,-1955.62891554477,-591.371045132143,0.868721671331717,"r","03BR004","breast"
"11BR028_r",-254.151876385621,-1306.96502155184,-1561.11689793746,0.930202065578755,"r","11BR028","breast"
"20BR005_r",627.612879391941,-524.166405152332,103.446474239609,0.813778538983271,"r","20BR005","breast"
