,breast,STAD,colon,HNSC,ovary,Renal,LUSC,LUAD,UCEC,PRAD,PAAD,PedBrain,GBM,HCC
A1BG,0.0104,0.1198,0.069,-0.043,0.0881,0.0396,0.1558,-0.1357,0.1877,0.0434,0.2451,-0.1563,-0.1139,0.489
A2M,0.2407,0.182,-0.071,0.0942,0.1982,0.0133,0.4115,0.3354,-0.0158,-0.0613,0.4774,0.2603,0.4664,0.4852
NAT1,0.7936,0.3798,0.4013,0.5838,0.5283,0.7018,0.7707,0.8055,0.8621,0.7108,0.3096,0.3519,0.5656,0.5943
SERPINA3,0.3312,0.1955,0.222,0.1931,0.0459,0.1732,0.2698,0.1759,0.449,0.4093,-0.0014,0.5292,0.4685,0.5177
AAMP,0.4451,0.3723,0.3273,0.6785,0.7017,0.5641,0.6246,0.3519,0.4932,-0.0048,0.147,0.3168,0.3826,0.47
AARS,0.7346,0.4486,0.438,0.6886,0.7227,0.7914,0.8438,0.9049,0.6835,0.2191,0.5296,0.666,0.6762,0.7834
ABAT,0.8727,0.535,0.7659,0.8604,0.7654,0.153,0.8472,0.9078,0.7151,0.5827,0.3042,0.7638,0.7749,0.8753
ABCA1,0.1321,0.276,,0.3498,0.2598,0.2904,0.8163,0.6101,0.2589,,0.3662,,0.836,0.5799
ABCA2,0.2237,,,0.1127,,0.2954,0.1363,0.2303,0.1921,,0.0223,0.5879,0.8027,0.3279
ABCA3,0.5889,,,0.2445,0.1215,,0.818,0.7669,,,,,0.4873,
ABCB7,0.2514,0.3025,0.2636,0.5082,0.4124,0.3593,0.4406,0.5884,0.0888,0.1421,0.1387,0.1181,0.5193,0.5251
ABCF1,0.5027,0.3175,0.4534,0.7242,0.6345,0.5136,0.7133,0.7747,0.673,0.0157,0.4202,0.37,0.6587,0.5732
ABL1,0.3359,0.1845,-0.0572,0.3189,0.1704,0.5571,0.4589,0.3348,0.5181,,0.2542,-0.0102,0.4573,0.4569
